N,D,age,sex,year,n,mx,ax,qx,px,lx,dx,Lx,Tx,ex,lost,total,edagger,decile,age_2,check_death,check_pop
9507,9,29,1,1981,1,.00094667,.5,.00094622,.99905378,97423.958,92.18479,97377.865,4351176.9,44.662289,4073.0193,1052788.7,10.527887,1,,,
10134,6,30,1,1981,1,.00059207,.5,.00059189,.99940811,97331.773,57.60981,97302.968,4253799.1,43.704116,2489.7179,1052788.7,10.527887,1,,,
10467,5,31,1,1981,1,.00047769,.5,.00047758,.99952242,97274.163,46.45597,97250.935,4156496.1,42.729703,1962.2907,1052788.7,10.527887,1,,,
11337,10,32,1,1981,1,.00088207,.5,.00088168,.99911832,97227.707,85.7236,97184.845,4059245.2,41.749881,3537.6486,1052788.7,10.527887,1,,,
12570,11,33,1,1981,1,.0008751,.5,.00087472,.99912528,97141.984,84.97172,97099.498,3962060.3,40.786282,3424.693,1052788.7,10.527887,1,,,
13539,12,34,1,1981,1,.00088633,.5,.00088594,.99911406,97057.012,85.98627,97014.019,3864960.8,39.821552,3382.6128,1052788.7,10.527887,1,,,
10119,7,35,1,1981,1,.00069177,.5,.00069153,.99930847,96971.026,67.05826,96937.496,3767946.8,38.856419,2573.0046,1052788.7,10.527887,1,,,
11157,10,36,1,1981,1,.0008963,.5,.0008959,.9991041,96903.967,86.81596,96860.559,3671009.3,37.882962,3246.8927,1052788.7,10.527887,1,,,
10770,11,37,1,1981,1,.00102136,.5,.00102083,.99897917,96817.151,98.83427,96767.734,3574148.7,36.916483,3601.0354,1052788.7,10.527887,1,,,
9834,12,38,1,1981,1,.00122026,.5,.00121951,.99878049,96718.317,117.9492,96659.342,3477381,35.953696,4184.2868,1052788.7,10.527887,1,,,
9024,14,39,1,1981,1,.00155142,.5,.00155022,.99844978,96600.368,149.7514,96525.492,3380721.7,34.996985,5169.9834,1052788.7,10.527887,1,,,
9063,17,40,1,1981,1,.00187576,.5,.001874,.998126,96450.616,180.7486,96360.242,3284196.2,34.050546,6069.9054,1052788.7,10.527887,1,,,
9186,23,41,1,1981,1,.00250381,.5,.00250068,.99749932,96269.868,240.7401,96149.498,3187835.9,33.113538,7861.2273,1052788.7,10.527887,1,,,
9387,21,42,1,1981,1,.00223714,.5,.00223464,.99776536,96029.128,214.5902,95921.833,3091686.4,32.195298,6809.1177,1052788.7,10.527887,1,,,
9288,18,43,1,1981,1,.00193798,.5,.00193611,.99806389,95814.538,185.5073,95721.784,2995764.6,31.266285,5712.9074,1052788.7,10.527887,1,,,
9171,23,44,1,1981,1,.00250791,.5,.00250476,.99749524,95629.03,239.5282,95509.266,2900042.8,30.325967,7153.1298,1052788.7,10.527887,1,,,
9048,20,45,1,1981,1,.00221043,.5,.00220799,.99779201,95389.502,210.6193,95284.192,2804533.5,29.400862,6093.8154,1052788.7,10.527887,1,,,
9039,22,46,1,1981,1,.0024339,.5,.00243094,.99756906,95178.883,231.3741,95063.196,2709249.4,28.464816,6478.2173,1052788.7,10.527887,1,,,
